id,title,hashtags,view_count,duration,channel,channel_id,description,description_links,created_at,like_count,dislike_count,subscriber_count,hours ago posted,total_interactions,video_url
bq67pzG4954,Found The Gravel #shorts,No Hashtags,134,00:19,Dragon Rider,dragonrider,"Came across some dirt and gravel earlier on this road, so fortunately I was expecting more.  
#closecall #motomadness #motorcycles #bikerlife 


Subscribe, Like Or comment is always appreciated !  
Also check us out on:  
Instagram: <https://www.instagram.com/DragonRiderProductions/>  
Have a video you want edited and featured for both our channels to share?  
Email me the link to your video with permission to use it! Or complete form: <https://www.bit.ly/DRPDRP>


Other links:  
<https://bit.ly/BitchuteDRP>   
<https://bit.ly/TwitterDRP>  
Confederation of Clubs SoCal: <http://www.cocsocal.org/>  
© <https://www.youtube.com/c/DragonRiderProductions>


Cup-of-coffee me? : paypal.me/DragonRieter

","['https://www.instagram.com/DragonRiderProductions/', 'https://www.bit.ly/DRPDRP', 'https://bit.ly/BitchuteDRP', 'https://bit.ly/TwitterDRP', 'http://www.cocsocal.org/', 'https://www.youtube.com/c/DragonRiderProductions']",9 hours ago,1,0,62,9.0,135,https://api.bitchute.com/video/bq67pzG4954
9DXFRoXifcA,New Workshop Assistant #short,No Hashtags,127,00:39,Ben's Garage,bensgarage,"Luckily I don't have to pull start things that often, otherwise he is the perfect workshop dog. #shorts #shortvideos


🔥 Check out my Amazon store for some cracking tool ideas and Range Rover upgrades: <https://www.amazon.co.uk/shop/benelliott?ref_=cm_sw_r_cp_ud_aipsfshop_aipsfbenelliott_57CETTTQ0KAFAZ9QDS4T>


This video is NOT sponsored. Some product links are affiliate links which means if you buy something we'll receive a small commission.


===========================  
All Products and Gear used to make this video  
===========================  
<https://bensgarageaffliatestore.weebly.com/>


📦🚚 If you're feeling generous and want to help out Ben's Garage, check out our Amazon wish list. <https://www.amazon.fr/hz/wishlist/ls/1GD8DKFENYM5B?ref_=wl_share>


📚📖🔧 Never get stuck, fixing stuff again! Download your Emanual now: [https://shareasale.com/r.cfm?b=537456&amp;u=2809874&amp;m=49176&amp;urllink=&amp;afftrack=](https://shareasale.com/r.cfm?b=537456&amp%3Bu=2809874&amp%3Bm=49176&amp%3Burllink=&amp%3Bafftrack=)


===========================  
Connect with me on social media!   
===========================  
Tik Tok ➡︎ <https://www.tiktok.com/@bensgarage2>  
IG ➡︎ <https://www.instagram.com/bensgarage87/>  
Facebook ➡︎ <https://www.facebook.com/groups/2122469321389224>  
X ➡︎ <https://twitter.com/BensGarage1>


▶️ We welcome all support for our channel. Please click this link to see other ways to help or follow us: <https://linktr.ee/bensgarage>

","['https://www.amazon.co.uk/shop/benelliott?ref_=cm_sw_r_cp_ud_aipsfshop_aipsfbenelliott_57CETTTQ0KAFAZ9QDS4T', 'https://bensgarageaffliatestore.weebly.com/', 'https://www.amazon.fr/hz/wishlist/ls/1GD8DKFENYM5B?ref_=wl_share', 'https://shareasale.com/r.cfm?b=537456&amp%3Bu=2809874&amp%3Bm=49176&amp%3Burllink=&amp%3Bafftrack=', 'https://www.tiktok.com/@bensgarage2', 'https://www.instagram.com/bensgarage87/', 'https://www.facebook.com/groups/2122469321389224', 'https://twitter.com/BensGarage1', 'https://linktr.ee/bensgarage']",15 hours ago,1,1,25,15.0,129,https://api.bitchute.com/video/9DXFRoXifcA
zH15Is4jjV0,Nuevo motor para el E30,No Hashtags,33,00:56,@PetrolheadGarage,petrolheadgarage,"Quieres aprender Mecánica y Electricidad? ¡Aquí tienes todos los capítulos de nuestros cursos gratuitos en Youtube! 👇


▷ \*Curso Electricidad del Automóvil\* – ¡De Básica a Pro! ▶︎ <https://bit.ly/3vww0l3>


▷ ¡Curso de mecánica de motores y cajas de cambio! ▶︎ <https://cutt.ly/6knepAQ>

","['https://bit.ly/3vww0l3', 'https://cutt.ly/6knepAQ']",22 hours ago,0,0,13,22.0,33,https://api.bitchute.com/video/zH15Is4jjV0
xI1XdT4yRXCm,2017 Komatsu HD785-7 Rigid Dump Truck,"#Komatsu,#construction,#heavymachinery",31,01:38,Al Marwan Heavy Machinery,almarwan,"Discover unmatched power and reliability with the 2017 Komatsu HD785-7 Rigid Dump Truck. This meticulously maintained machine is designed to elevate your fleet's performance. Boasting a remarkable 91-ton payload capacity, a robust 1200 hp Komatsu engine, and an advanced intelligent transmission system, it's engineered for excellence and dominance in the field.


Get it at: <https://almarwan.com/p/RD-0525/2017-komatsu-hd785-7-rigid-dump-truck-rd-0525.html> 

",['https://almarwan.com/p/RD-0525/2017-komatsu-hd785-7-rigid-dump-truck-rd-0525.html'],5 hours ago,0,0,4,5.0,31,https://api.bitchute.com/video/xI1XdT4yRXCm
tSvI85SESmbJ,2024 Honda Dio 125,"#honda,#motorcycle,#scooter",23,05:31,Panzer86,panzer86,No Description,[],15 hours ago,3,0,517,15.0,26,https://api.bitchute.com/video/tSvI85SESmbJ
ZZ9qHG2I-yU,First Two-Up Transalp XL750 Ride - Motovlog with Pillion,No Hashtags,19,13:52,Moto Journo Kris,motojournokris,"First ride on the Transalp XL750 with a pillion, and general thoughts about mods for the bike and what's next!


Don't forget to subscribe and hit that notification bell!  
<https://motojournokris.com/youtube>

",['https://motojournokris.com/youtube'],2 hours ago,0,0,91,2.0,19,https://api.bitchute.com/video/ZZ9qHG2I-yU
9WHxxxm_Iiw,ForgeTEX® Premium Bold® with a Woven Backing #carbonfiber #forgedcarbon,No Hashtags,8,00:12,ULTICARBON,ulticarbon,"Coming Soon - ForgeTEX® forged carbon fiber fabric with a plain weave carbon fiber backing instead of the typical non-woven backing. This creates a fabric that may work better with spooling equipment and also provides a layer of reinforcement along with the decorative chopped carbon fiber pattern.  
Shop forged carbon fiber fabric: <https://ulticarbon.com/product-category/all-products/>

",['https://ulticarbon.com/product-category/all-products/'],15 hours ago,0,0,3,15.0,8,https://api.bitchute.com/video/9WHxxxm_Iiw
hXw9QIBzlzrt,IT'S THE 🚖 ZOOX❗,"#zoox,#robotaxi,#ai",1210,02:28,CANST - Children Are NOT Sex Toys / GMNo!,canst,"Zoox was founded to make personal transportation safer, cleaner, and more enjoyable—for everyone. To achieve that goal, the team created a whole new form of transportation.


Zoox will provide mobility-as-a-service in dense urban environments. We will handle the driving, charging, maintenance, and upgrades for our fleet of vehicles. The rider will simply pay for the service.


In 2020, Zoox joined forces with Amazon. And in the process, solidified our future in the autonomous vehicle industry.


We are focused on testing on private and public roads as we move towards launching the first Zoox ride-hailing service.


<https://zoox.com/>


Source: <https://matrix.org/_matrix/media/r0/download/matrix.org/oZhrrmxNPFWIymAHeEyzukHJ>


Thumbnail: <https://www.carrushome.com/en/zoox-unveils-autonomous-fully-functional-taxi-of-the-future/>


AltCastTV & Odysee thumbnail: <https://www.deeplearning.ai/the-batch/robotaxi-reimagined/>

","['https://zoox.com/', 'https://matrix.org/_matrix/media/r0/download/matrix.org/oZhrrmxNPFWIymAHeEyzukHJ', 'https://www.carrushome.com/en/zoox-unveils-autonomous-fully-functional-taxi-of-the-future/', 'https://www.deeplearning.ai/the-batch/robotaxi-reimagined/']","1 day, 20 hours ago",11,21,17888,44.0,1242,https://api.bitchute.com/video/hXw9QIBzlzrt
qy7hCbvXoTVt,Lusilan sauna UE 1424,#urbex,367,08:00,BLO-551,blo551,"2014-2024

",[],"4 days, 6 hours ago",1,0,23,102.0,368,https://api.bitchute.com/video/qy7hCbvXoTVt
tOEeg03fKw0,Fix Your Batteries! #lifehacks #powertools #hart #lithiumbattery #shorts,No Hashtags,340,00:45,Endless Money Pits,endlessmoneypits,No Description,[],"5 days, 20 hours ago",1,0,72,140.0,341,https://api.bitchute.com/video/tOEeg03fKw0
